Date,Symbol,Headline,Summary,Link,Source
2026-03-26,JKH.N0000,"SRI LANKA’S STOCKS TREND DOWN, CAPITAL GOODS PUSH TURNOVER","ECONOMYNEXT – SRI LANKA’S COLOMBO STOCK EXCHANGE WAS TRENDING DOWN BY MID-DAY THURSDAY, WITH CAPITAL GOODS PUSHING TURNOVER. THE ASPI WAS DOWN 1.45 PERCENT, OR 318.08, AT 21,550.77. THE S&P SL20 WAS D",https://economynext.com/sri-lankas-stocks-trend-down-capital-goods-push-turnover-265286/,Alt_News
2026-03-25,COMB.N0000,COMMERCIAL BANK WINS PUBLIC VOTE AS ‘PEOPLE’S PRIVATE BANK’ FOR 4TH YEAR RUNNING,"REAFFIRMING THE CONTINUED LOVE, TRUST, AND UNWAVERING SUPPORT OF THE PEOPLE OF SRI LANKA, COMMERCIAL BANK OF CEYLON HAS ONCE AGAIN BEEN VOTED THE ‘PEOPLE’S PRIVATE BANKING SERVICES BRAND OF THE YEAR,’",http://bizenglish.adaderana.lk/commercial-bank-wins-public-vote-as-peoples-private-bank-for-4th-year-running/,Alt_News
2026-03-25,SAMP.N0000,SIYAPATHA FINANCE PLC  DEBENTURE ISSUE OVERSUBSCRIBED,"SIYAPATHA FINANCE PLC, A SUBSIDIARY OF SAMPATH BANK PLC AND A PROMINENT LEADER IN SRI LANKA’S NON-BANKING FINANCIAL SECTOR, ANNOUNCES THE RESOUNDING SUCCESS OF ITS RECENT DEBENTURE ISSUANCE, WHICH REC",http://bizenglish.adaderana.lk/siyapatha-finance-plc-debenture-issue-oversubscribed-3/,Alt_News
2026-03-24,COMB.N0000,COMBANK EMPOWERS MOTHERS THROUGH RESTORATION OF HISTORIC DE SOYSA HOSPITAL MATERNITY WARD,"THE COMMERCIAL BANK OF CEYLON HAS UNDERTAKEN THE RENOVATION OF WARD NO. 03 AT THE HISTORIC DE SOYSA HOSPITAL FOR WOMEN IN CELEBRATION OF INTERNATIONAL WOMEN’S DAY, UNDERSCORING ITS ONGOING COMMITMENT ",http://bizenglish.adaderana.lk/combank-empowers-mothers-through-restoration-of-historic-de-soysa-hospital-maternity-ward/,Alt_News
2026-03-24,DIAL.N0000,"DIALOG SURPASSES 800+ 5G SITES, DRIVING SRI LANKA’S FASTEST 5G EXPANSION AND ADVANCING THE NATION’S DIGITAL FUTURE","DIALOG AXIATA PLC, SRI LANKA’S #1 CONNECTIVITY PROVIDER, HAS ANNOUNCED THE EXPANSION OF ITS 5G NETWORK TO OVER 800 LIVE SITES SPANNING 24 DISTRICTS, REINFORCING ITS COMMITMENT TO ACCELERATING NATIONWI",http://bizenglish.adaderana.lk/dialog-surpasses-800-5g-sites-driving-sri-lankas-fastest-5g-expansion-and-advancing-the-nations-digital-future/,Alt_News
2026-03-23,DFCC.N0000,DFCC BANK MAKES AVURUDU SPENDING GO FURTHER WITH 2026 CARD CAMPAIGN,"AS HOUSEHOLDS PREPARE FOR THE SINHALA AND TAMIL NEW YEAR DURING A PERIOD OF RISING LIVING COSTS, DFCC BANK HAS LAUNCHED ITS AVURUDU 2026 CARD CAMPAIGN, THEMED “THE MOST REWARDING SWIPE OF THE AVURUDU,",http://bizenglish.adaderana.lk/dfcc-bank-makes-avurudu-spending-go-further-with-2026-card-campaign/,Alt_News
2026-03-23,NDB.N0000,NDB’S GSS+ BOND ISSUANCE BREAKS NEW GROUND WITH RECORD LKR. 16 BN RAISED,"NATIONAL DEVELOPMENT BANK PLC (NDB) COMMEMORATED RAISING LKR. 16 BN WITH ITS FIRST EVER ISSUANCE OF BASEL III COMPLIANT GSS+ (GREEN, SOCIAL, SUSTAINABLE & SUSTAINABILITY LINKED) BONDS AND THE COUNTRY’",http://bizenglish.adaderana.lk/ndbs-gss-bond-issuance-breaks-new-ground-with-record-lkr-16-bn-raised/,Alt_News
2026-03-23,SAMP.N0000,SAMPATH BANK CHAMPIONS SME WOMEN ENTREPRENEURS THROUGH THE ‘UNSTOPPABLE WOMAN’ PROGRAMME,"IN RECOGNITION OF INTERNATIONAL WOMEN’S DAY 2026, SAMPATH BANK HOSTED ITS ENTREPRENEUR DEVELOPMENT PROGRAMME UNDER THE THEME ‘UNSTOPPABLE WOMAN’, BRINGING TOGETHER SME WOMEN ENTREPRENEURS FOR AN EVENI",http://bizenglish.adaderana.lk/sampath-bank-champions-sme-women-entrepreneurs-through-the-unstoppable-woman-programme/,Alt_News
2026-03-22,NDB.N0000,NDB’S GSS+ BOND ISSUANCE BREAKS NEW GROUND WITH RECORD LKR. 16 BN RAISED,"NATIONAL DEVELOPMENT BANK PLC (NDB) COMMEMORATED RAISING LKR. 16 BN WITH ITS FIRST EVER ISSUANCE OF BASEL III COMPLIANT GSS+ (GREEN, SOCIAL, SUSTAINABLE & SUSTAINABILITY LINKED) BONDS AND THE COUNTRY’",https://www.lankabusinessonline.com/2026/03/22/ndbs-gss-bond-issuance-breaks-new-ground-with-record-lkr-16-bn-raised/,Alt_News
2026-03-20,COMB.N0000,COMBANK CARDS OFFER UP TO 70% AVURUDU DISCOUNTS ACROSS THE WIDEST RANGE OF OUTLETS ISLAND-WIDE,"THE COMMERCIAL BANK OF CEYLON HAS LAUNCHED ITS MUCH-ANTICIPATED SEASONAL PROMOTION FOR THE SINHALA AND TAMIL NEW YEAR, OFFERING CREDIT AND DEBIT CARDHOLDERS DISCOUNTS OF UP TO 70% ACROSS AN EXTENSIVE ",http://bizenglish.adaderana.lk/combank-cards-offer-up-to-70-avurudu-discounts-across-the-widest-range-of-outlets-island-wide/,Alt_News
2026-03-20,DFCC.N0000,DFCC BANK RELEASES 13TH INTEGRATED ANNUAL REPORT “A DEFINING LEAP IN CUSTOMER-CENTRIC BANKING”,"DFCC BANK PLC HAS RELEASED ITS 13TH INTEGRATED ANNUAL REPORT FOR THE FINANCIAL YEAR ENDED 31 DECEMBER 2025, TITLED “A DEFINING LEAP IN CUSTOMER-CENTRIC BANKING.” THE REPORT OUTLINES THE BANK’S FINANCI",http://bizenglish.adaderana.lk/dfcc-bank-releases-13th-integrated-annual-report-a-defining-leap-in-customer-centric-banking/,Alt_News
2026-03-19,COMB.N0000,UN GLOBAL COMPACT NETWORK SRI LANKA SPEARHEADS CORPORATE SUSTAINABILITY ECOSYSTEM BUILDING WITH NEW PATRONS AND PARTNERS,"UN GLOBAL COMPACT NETWORK SRI LANKA (NETWORK SRI LANKA) CONVENED CORPORATE LEADERS AND PARTNERS YESTERDAY FOR A MEMORANDA OF UNDERSTANDING (MOU) SIGNING CEREMONY, WELCOMING NEW PATRONS AND ECOSYSTEM P",http://bizenglish.adaderana.lk/un-global-compact-network-sri-lanka-spearheads-corporate-sustainability-ecosystem-building-with-new-patrons-and-partners/,Alt_News
2026-03-19,SAMP.N0000,SAMPATH BANK’S COMMITMENT TO RESPONSIBLE BANKING REFLECTED IN ACCA RECOGNITION,"SAMPATH BANK PLC HAS BEEN RECOGNISED AS THE RUNNER UP IN THE BANKING CATEGORY AT THE ACCA SUSTAINABILITY REPORTING AWARDS 2025, HELD RECENTLY AT CINNAMON LIFE, COLOMBO. THE RECOGNITION WAS AWARDED FOR",http://bizenglish.adaderana.lk/sampath-banks-commitment-to-responsible-banking-reflected-in-acca-recognition/,Alt_News
2026-03-18,COMB.N0000,COMBANK BECOMES PATRON OF TWO WORKING GROUPS OF UNGC NETWORK SRI LANKA,"COMMITS SUPPORT TO ‘DIVERSITY & INCLUSION’ AND ‘WATER & OCEAN STEWARDSHIP’ GROUPS ENGAGEMENT STRENGTHENS BANK’S LEADERSHIP IN SUSTAINABILITY, ESG KNOWLEDGE SHARING AND RESPONSIBLE FINANCE THE COMMERCI",http://bizenglish.adaderana.lk/combank-becomes-patron-of-two-working-groups-of-ungc-network-sri-lanka/,Alt_News
